#TYPE Selected.System.Management.Automation.PSCustomObject
"Title";"Link"
"Conversation BRK1008 - Experience Excel everywhere: the benefits of using Excel on the web, on mobile &amp; anywhere! in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1008-Experience-Excel-everywhere-the-benefits-of-using-Excel/m-p/9435#M26"
"Conversation BRK1009 - Learn about Office 365 security and compliance in a cloud first world in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1009-Learn-about-Office-365-security-and-compliance-in-a/m-p/9438#M27"
"Conversation BRK2227 - Transform self-service analytics throughout a major corporation in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2227-Transform-self-service-analytics-throughout-a-major/m-p/9442#M28"
"Conversation BRK1010 - Explore the mobile options for OneDrive for Business and SharePoint files in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1010-Explore-the-mobile-options-for-OneDrive-for-Business-and/m-p/9443#M29"
"Conversation BRK1011 - Drive productivity with OneDrive and SharePoint file collaboration (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1011-Drive-productivity-with-OneDrive-and-SharePoint-file/m-p/9446#M30"
"Conversation BRK2228 - Track your driving performance with real time data and video processing in Azure in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2228-Track-your-driving-performance-with-real-time-data-and/m-p/9447#M31"
"Conversation BRK2230 -  Back to Sessions Explore Enterprise cloud for Microsoft environments in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2230-Back-to-Sessions-Explore-Enterprise-cloud-for-Microsoft/m-p/9456#M32"
"Conversation BRK3209 - Optimize IaaS VM Storage using Azure Disks and Files (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3209-Optimize-IaaS-VM-Storage-using-Azure-Disks-and-Files/m-p/9457#M33"
"Conversation BRK1012 - Explore Microsoft SQL Server 2016 R services (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1012-Explore-Microsoft-SQL-Server-2016-R-services-Microsoft/m-p/9458#M34"
"Conversation BRK2231 - Understand how ChannelAdvisor is using SQL Server 2016 to improve their business in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2231-Understand-how-ChannelAdvisor-is-using-SQL-Server-2016/m-p/9463#M35"
"Conversation BRK3210 - Build tiered cloud storage in Microsoft Azure (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3210-Build-tiered-cloud-storage-in-Microsoft-Azure-Microsoft/m-p/9470#M36"
"Resource Not Found";"/gxcuf89792/rss/message"
"Conversation BRK1014 - Harness the power of the Internet of Things in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1014-Harness-the-power-of-the-Internet-of-Things/m-p/9475#M38"
"Conversation BRK2234 - Explore Microsoft Azure Monitoring &amp; Diagnostics in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2234-Explore-Microsoft-Azure-Monitoring-amp-Diagnostics/m-p/9477#M39"
"Conversation BRK1016 - Address your CXO's top five cloud security concerns (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1016-Address-your-CXO-s-top-five-cloud-security-concerns/m-p/9478#M40"
"Conversation BRK1017 - Take your management and security strategy to the cloud (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1017-Take-your-management-and-security-strategy-to-the-cloud/m-p/9481#M41"
"Conversation BRK1018 - Discover how leading companies manage their hybrid environments today in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1018-Discover-how-leading-companies-manage-their-hybrid/m-p/9483#M42"
"Conversation BRK1019 - Vote and celebrate at the Microsoft Office App Awards (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1019-Vote-and-celebrate-at-the-Microsoft-Office-App-Awards/m-p/9485#M43"
"Conversation BRK3211 - Secure your data in the cloud with Microsoft Azure Storage (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3211-Secure-your-data-in-the-cloud-with-Microsoft-Azure/m-p/9486#M44"
"Resource Not Found";"/gxcuf89792/rss/message"
"Conversation BRK1020 - Take back your time with Microsoft Office Delve Analytics (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1020-Take-back-your-time-with-Microsoft-Office-Delve/m-p/9490#M46"
"Conversation BRK3213 - Learn how to deploy and manage Microsoft Cloud App Security (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3213-Learn-how-to-deploy-and-manage-Microsoft-Cloud-App/m-p/9491#M47"
"Conversation BRK1021 - Unplug with the Microsoft Outlook experts (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1021-Unplug-with-the-Microsoft-Outlook-experts-Microsoft/m-p/9493#M48"
"Conversation BRK2235 - Examine how Wintellect built the WintellectNOW video service on top of Azure in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2235-Examine-how-Wintellect-built-the-WintellectNOW-video/m-p/9494#M49"
"Conversation BRK3214 - Explore new scenarios with modern authentication in Office 365 (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3214-Explore-new-scenarios-with-modern-authentication-in/m-p/9495#M50"
"Resource Not Found";"/gxcuf89792/rss/message"
"Conversation BRK1022 -Empower, engage and connect your deskless workers with their team and company in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1022-Empower-engage-and-connect-your-deskless-workers-with/m-p/9498#M52"
"Conversation BRK1024 - Transform your business with Azure (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1024-Transform-your-business-with-Azure-Microsoft-Ignite-2016/m-p/9502#M53"
"Conversation BRK3216 - Plan performance and bandwidth for Microsoft Office 365 (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3216-Plan-performance-and-bandwidth-for-Microsoft-Office-365/m-p/9503#M54"
"Conversation BRK2237 - Engage and inspire your organization with videos using Microsoft Stream &amp; Office 365 Video in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2237-Engage-and-inspire-your-organization-with-videos-using/m-p/9504#M55"
"Conversation BRK1025 - Learn how SharePoint is reinventing content collaboration: vision and roadmap updates in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1025-Learn-how-SharePoint-is-reinventing-content/m-p/9505#M56"
